date,open,high,low,close,volume
2025-12-01,174.76,180.3,173.68,179.92,188130955
2025-12-02,181.76,185.66,180.0,181.46,182632230
2025-12-03,181.08,182.45,179.1101,179.59,165138023
2025-12-04,181.62,184.515,179.96,183.38,167364857
2025-12-05,183.89,184.66,180.91,182.41,143971098
2025-12-08,182.64,188.0,182.4,185.55,191927261
2025-12-09,185.56,185.7167,183.32,184.97,142372621
2025-12-10,184.965,185.48,182.035,183.78,162785370
2025-12-11,180.275,181.32,176.62,180.93,182136641
2025-12-12,181.11,182.82,174.62,175.02,204274918
2025-12-15,177.936,178.415,175.03,176.29,164775636
2025-12-16,176.26,178.49,174.9,177.72,148588098
2025-12-17,176.1,176.13,170.31,170.94,222775464
2025-12-18,174.53,176.15,171.82,174.14,176096001
2025-12-19,176.665,181.45,176.34,180.99,324925927
2025-12-22,183.92,184.16,182.35,183.69,129064369
2025-12-23,182.97,189.33,182.9,189.21,174873621
2025-12-24,187.94,188.91,186.59,188.61,65528545
2025-12-26,189.92,192.69,188.0,190.53,139740292
2025-12-29,187.71,188.755,185.91,188.22,120006103
2025-12-30,188.24,188.99,186.93,187.54,97687274
2025-12-31,189.57,190.56,186.49,186.5,120100484
2026-01-02,189.835,192.9299,188.26,188.85,148240462
2026-01-05,191.76,193.63,186.15,188.12,183529733
2026-01-06,190.52,192.174,186.82,187.24,176862604
2026-01-07,188.57,191.37,186.56,189.11,153543174
2026-01-08,189.11,189.55,183.71,185.04,172457048
2026-01-09,185.08,186.34,183.6701,184.86,131327534
2026-01-12,183.22,187.12,183.02,184.94,137968453
2026-01-13,184.995,188.1099,183.4,185.81,160128939
2026-01-14,184.32,184.46,180.8,183.14,159586135
2026-01-15,186.5,189.7,186.33,187.05,206188642
2026-01-16,189.075,190.44,186.08,186.23,187967169
2026-01-20,181.9,182.3786,177.61,178.07,218355781
2026-01-21,179.05,185.379,178.4,183.32,200380959
2026-01-22,184.75,186.17,183.93,184.84,139636626
2026-01-23,187.5,189.6,186.8233,187.67,142748076
2026-01-26,187.16,189.12,185.99,186.47,124799649
2026-01-27,187.24,190.0,185.7,188.52,138432307
2026-01-28,191.27,192.35,189.84,191.52,148552677
2026-01-29,191.34,193.48,186.06,192.51,171764375
2026-01-30,191.21,194.49,189.47,191.13,179489463
2026-02-02,187.2,190.3,184.88,185.61,165794054
2026-02-03,186.24,186.27,176.23,180.34,202006430
2026-02-04,179.46,179.58,171.91,174.19,207014116
2026-02-05,174.925,176.815,171.03,171.88,206312890
2026-02-06,176.69,187.0,174.6,185.41,231346241
2026-02-09,184.26,193.66,183.95,190.04,196387351
2026-02-10,191.38,192.48,188.12,188.54,136764825
2026-02-11,192.45,193.26,188.77,190.05,144192685
2026-02-12,193.03,193.61,186.51,186.94,189932491
2026-02-13,187.475,187.5,181.59,182.81,161888021
2026-02-17,181.75,187.15,179.18,184.97,162276860
2026-02-18,188.75,190.37,186.76,187.98,164749125
2026-02-19,187.055,188.43,185.66,187.9,126554526
2026-02-20,186.57,190.33,185.9378,189.82,178422337
2026-02-23,191.4,193.95,189.575,191.55,171584839
2026-02-24,191.49,193.77,187.4,192.85,175123602
2026-02-25,194.45,197.6299,193.79,195.56,250637102
2026-02-26,194.27,194.29,184.315,184.89,360807907
2026-02-27,181.25,182.59,176.38,177.19,311636494
2026-03-02,175.01,183.46,174.64,182.48,209095331
2026-03-03,178.49,180.9,176.92,180.05,178099430
2026-03-04,180.44,184.7,180.06,183.04,177731198
2026-03-05,181.17,184.06,177.88,183.34,198779729
2026-03-06,179.84,182.7561,176.8201,177.82,189021949
2026-03-09,176.83,182.91,175.56,182.65,177213588
2026-03-10,182.4,186.44,182.01,184.77,179118528
2026-03-11,185.91,187.62,184.45,186.03,145280386
2026-03-12,184.05,184.94,181.75,183.14,155762663
2026-03-13,184.92,186.09,179.94,180.25,160988424
2026-03-16,182.97,188.88,181.41,183.22,217307380
2026-03-17,185.06,185.4,181.6804,181.93,182497757
2026-03-18,182.48,183.38,180.33,180.4,156683136
2026-03-19,178.01,179.98,175.785,178.56,170968527
2026-03-20,178.0,178.26,171.72,172.7,241323528
2026-03-23,177.255,178.37,174.76,175.64,182836294
2026-03-24,174.83,176.22,173.98,175.2,147667844
2026-03-25,177.1,181.22,176.85,178.68,162602054
2026-03-26,176.07,176.51,171.14,171.24,186152232
2026-03-27,170.0,170.97,167.01,167.52,196212684
2026-03-30,168.78,169.45,164.27,165.17,185626992
2026-03-31,166.97,174.62,166.96,174.4,226181301
2026-04-01,176.0,177.37,174.75,175.75,168132005
2026-04-02,172.18,177.49,171.37,177.39,143143157
2026-04-06,177.155,177.79,175.76,177.64,107564279
2026-04-07,175.725,178.23,173.66,178.1,132534902
2026-04-08,184.5,185.26,180.3,182.08,147732686
2026-04-09,181.84,184.08,180.62,183.91,116428523
2026-04-10,184.31,190.0,184.3,188.63,160459524
2026-04-13,186.03,189.66,185.74,189.31,133648180
2026-04-14,190.84,196.51,190.77,196.51,161307010
2026-04-15,196.54,200.4,195.74,198.87,185338388
2026-04-16,197.43,199.85,195.81,198.35,134012859
2026-04-17,199.9,201.7,199.27,201.68,160324416
2026-04-20,199.98,202.17,197.8397,202.06,119381388
2026-04-21,202.13,202.75,199.0,199.88,107945302
2026-04-22,200.99,202.5,199.0,202.5,107501042
2026-04-23,202.46,203.829,197.2206,199.64,113561830
2026-04-24,199.96,210.95,199.81,208.27,214134441
2026-04-27,209.645,216.825,207.38,216.61,184421885
